,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2019-05-03,SS,1,SK,패배, 11:7,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,1,19,1.0,0.25,0.25,1.25,9.0,0.02,-0.48,-0.003,,,7+일,before
1,2019-05-18,SS,0,키움,패배, 1:13,1,1.0,5,5,4.65,9,6,3,0,0,1,2,0,1,0,51,3.0,0.4,0.538,1.538,27.0,0.92,-4.96,-0.344,25,L,7+일,before
2,2022-05-25,SS,1,KIA,패배, 11:5,0,2.1,1,1,2.2,13,9,2,1,0,0,4,0,0,1,52,2.57,0.222,0.462,0.795,3.86,0.32,-1.39,-0.088,,,7+일,after
3,2022-06-30,SS,1,KT,패배, 13:2,0,2.0,2,2,1.3,8,8,2,0,0,1,0,0,0,1,36,1.85,0.235,0.381,0.852,6.23,0.14,-0.39,-0.011,,,7+일,after
4,2022-07-02,SS,0,NC,패배, 1:17,0,0.1,0,0,1.2,2,2,1,0,1,0,0,0,0,0,5,1.93,0.263,0.391,0.97,5.79,0.0,-1.59,0.0,,,2일,after
5,2022-07-05,SS,1,LG,패배, 4:1,0,1.0,1,1,1.0,4,4,1,0,0,1,0,0,0,0,12,1.76,0.261,0.37,1.022,6.35,0.15,-0.49,-0.033,,,3일,after
6,2022-07-07,SS,1,LG,패배, 11:9,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,12,1.5,0.231,0.333,0.91,5.4,0.1,0.51,0.008,,,2일,after
7,2022-07-10,SS,1,SSG,패배, 7:2,0,1.0,0,0,0.0,5,4,1,1,0,0,1,0,0,1,17,1.57,0.233,0.343,0.91,4.7,0.09,0.51,0.004,,,3일,after
8,2022-07-26,SS,1,한화,패배, 4:2,0,1.1,0,0,0.0,6,4,1,0,0,0,1,0,0,2,33,1.56,0.235,0.35,0.879,4.0,0.24,0.88,0.02,,,7+일,after
9,2022-07-31,SS,1,롯데,패배, 5:5,1,4.0,3,3,3.0,19,17,5,1,0,1,1,0,1,3,69,1.54,0.255,0.356,0.885,4.85,1.13,-0.96,-0.064,42,,5일,after
10,2022-08-06,SS,0,SSG,패배, 6:7,0,1.2,2,2,1.3,7,7,3,0,0,0,0,0,0,2,34,1.57,0.276,0.364,0.881,5.52,1.85,0.95,0.112,,HD,6일,after
11,2022-08-14,SS,0,KT,패배, 2:3,0,1.0,1,1,0.3,6,4,1,0,0,0,2,0,0,0,32,1.66,0.274,0.375,0.875,5.74,2.65,0.1,0.063,,L,7+일,after
12,2022-08-19,SS,0,한화,승리, 9:5,1,5.2,0,0,0.0,22,19,5,0,0,0,1,0,1,3,86,1.5,0.272,0.366,0.81,4.22,0.97,2.86,0.289,61,W,5일,after
13,2022-08-26,SS,0,롯데,패배, 3:8,1,5.0,5,5,5.0,23,21,6,0,0,1,2,0,0,0,75,1.52,0.275,0.362,0.803,5.13,0.83,-3.45,-0.312,33,L,7일,after
14,2022-09-02,SS,0,KIA,패배, 3:8,1,4.0,2,2,2.0,20,17,5,0,0,0,3,0,0,4,86,1.58,0.277,0.368,0.788,5.04,1.25,0.04,-0.04,45,L,7일,after
15,2022-09-10,SS,1,LG,패배, 10:1,1,3.1,6,6,4.95,18,18,9,1,0,1,0,0,0,0,73,1.69,0.307,0.383,0.843,6.15,0.89,-3.25,-0.267,18,L,7+일,after
16,2023-05-20,SS,0,NC,패배, 3:14,1,1.1,7,7,6.3,12,11,7,4,0,1,1,0,0,0,49,6.0,0.636,0.667,1.94,47.25,0.96,-5.48,-0.481,11,L,7+일,after
17,2023-09-09,SS,0,두산,패배, 0:4,1,4.1,3,3,3.0,22,17,5,2,0,0,3,0,2,3,81,2.82,0.429,0.529,1.279,15.88,0.99,0.08,-0.142,41,L,7+일,after
18,2023-09-15,SS,0,NC,패배, 1:8,0,0.2,4,4,5.05,6,4,2,0,0,1,1,0,0,0,20,3.0,0.438,0.538,1.351,19.89,0.43,-4.74,-0.089,,,6일,after
19,2024-03-27,SS,0,LG,패배, 2:2,0,1.0,0,0,0.0,5,3,1,0,0,0,2,0,0,2,24,3.0,0.333,0.6,0.933,0.0,3.24,0.61,0.137,,,7+일,after
20,2024-03-29,SS,1,SSG,패배, 6:4,0,2.0,1,1,1.0,7,7,1,0,0,1,0,0,0,1,25,1.33,0.2,0.333,0.833,3.0,0.16,0.23,-0.005,,,2일,after
21,2024-03-30,SS,1,SSG,패배, 9:6,0,1.0,0,0,0.0,4,2,0,0,0,0,1,0,0,2,19,1.25,0.167,0.333,0.75,2.25,0.74,1.06,0.045,,,1일,after
22,2024-03-31,SS,1,SSG,패배, 4:3,0,0.1,0,0,0.0,3,2,1,0,0,0,1,0,0,0,10,1.62,0.214,0.389,0.818,2.08,0.71,-0.2,-0.025,,,1일,after
23,2024-04-04,SS,1,키움,패배, 10:1,0,1.1,0,0,0.0,5,5,0,0,0,0,0,0,0,1,21,1.24,0.158,0.304,0.62,1.59,0.13,0.74,0.011,,,4일,after
24,2024-04-06,SS,0,KIA,승리, 7:4,0,1.2,0,0,0.0,6,6,0,0,0,0,0,0,0,2,25,0.95,0.12,0.241,0.481,1.23,0.8,0.93,0.101,,,2일,after
25,2024-04-07,SS,0,KIA,승리, 7:3,0,1.0,0,0,0.0,3,3,1,0,0,0,0,0,0,0,17,0.96,0.143,0.25,0.5,1.08,1.36,0.61,0.075,,W,1일,after
26,2024-04-10,SS,0,롯데,승리, 10:7,0,2.0,0,0,0.0,6,5,0,0,0,0,0,0,0,0,28,0.77,0.121,0.216,0.428,0.87,0.43,1.67,0.06,,,3일,after
27,2024-04-13,SS,1,NC,패배, 4:3,0,3.0,0,0,0.0,11,9,0,0,0,0,1,0,0,1,37,0.68,0.095,0.191,0.358,0.68,1.51,2.28,0.227,,,3일,after
28,2024-04-16,SS,1,두산,승리, 5:7,0,0.2,0,0,0.35,2,1,0,0,0,0,0,0,0,0,4,0.64,0.093,0.184,0.347,0.64,2.92,1.03,0.102,,HD,3일,after
29,2024-04-19,SS,0,한화,패배, 1:6,0,1.2,2,2,2.0,8,5,1,1,0,0,1,0,2,0,30,0.7,0.104,0.228,0.416,1.72,0.66,-1.07,-0.153,,,3일,after
30,2024-04-23,SS,1,LG,승리, 3:7,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,2,17,0.72,0.098,0.23,0.406,1.62,0.59,0.54,0.035,,,4일,after
31,2024-04-30,SS,0,두산,패배, 0:4,0,1.0,1,1,1.7,4,3,2,0,0,0,0,0,0,0,19,0.79,0.13,0.246,0.45,2.04,0.48,-0.94,-0.076,,,7일,after
32,2024-05-04,SS,1,롯데,패배, 9:2,0,0.0,3,3,2.65,3,2,2,0,0,0,1,0,0,0,10,0.96,0.161,0.279,0.511,3.57,3.12,-2.67,-0.46,BLSV,L,4일,after
33,2024-05-08,SS,1,KIA,패배, 4:2,0,0.1,0,0,0.35,1,0,0,0,0,0,0,0,0,0,3,0.94,0.161,0.275,0.507,3.5,3.04,0.42,-0.024,,,4일,after
34,2024-05-09,SS,1,KIA,승리, 2:5,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,0,20,0.88,0.15,0.26,0.477,3.26,1.33,0.91,0.135,,,1일,after
35,2024-05-10,SS,0,NC,패배, 3:10,0,0.0,2,2,2.0,2,1,1,0,0,0,1,0,0,0,13,0.98,0.164,0.28,0.51,4.19,0.81,-2.0,-0.053,,,1일,after
36,2024-05-12,SS,0,NC,승리, 7:2,0,1.0,0,0,0.0,4,3,0,0,0,0,0,0,1,1,14,0.93,0.156,0.278,0.497,3.98,0.27,0.61,0.008,,,2일,after
37,2024-05-17,SS,1,한화,승리, 5:7,0,0.1,1,1,0.3,2,2,1,0,0,0,0,0,0,0,4,0.97,0.167,0.284,0.511,4.35,0.58,0.0,-0.003,,,5일,after
38,2024-05-19,SS,1,한화,패배, 12:2,0,2.1,2,2,2.0,11,10,4,1,0,0,0,0,0,1,40,1.04,0.197,0.293,0.556,4.7,0.02,-0.58,-0.003,,,2일,after
39,2024-05-21,SS,1,KT,패배, 8:5,0,1.0,1,1,0.65,6,5,2,0,0,0,1,0,0,0,26,1.13,0.21,0.306,0.578,4.88,0.35,0.1,0.01,,,2일,after
40,2024-05-23,SS,1,KT,패배, 9:2,0,1.0,0,0,1.2,5,3,1,1,0,0,1,0,0,0,22,1.16,0.214,0.311,0.597,4.68,0.03,-0.36,-0.003,,,2일,after
41,2024-05-25,SS,0,롯데,패배, 6:7,0,2.2,1,0,1.0,8,7,1,0,0,0,0,0,1,2,29,1.08,0.209,0.306,0.581,4.23,0.56,1.51,-0.018,,,2일,after
42,2024-05-29,SS,1,키움,패배, 11:5,0,1.1,3,3,1.8,7,6,2,0,0,1,1,0,0,1,34,1.14,0.216,0.314,0.623,4.97,0.31,-0.65,-0.01,,,4일,after
43,2024-06-06,SS,0,SSG,패배, 0:4,0,1.2,1,1,0.65,8,7,2,1,0,0,1,0,0,1,42,1.17,0.221,0.317,0.634,4.99,0.53,0.06,-0.035,,,7+일,after
44,2024-06-08,SS,0,키움,패배, 3:10,0,1.1,2,2,3.2,9,6,2,0,0,0,3,0,0,1,40,1.28,0.227,0.333,0.651,5.34,0.19,-2.84,-0.057,,,2일,after
45,2024-08-11,SS,0,KIA,승리, 5:4,0,0.0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,6,1.31,0.234,0.338,0.662,5.34,3.47,-0.44,-0.134,,,7+일,after
